,Año,Emision_CO2,Emisiones_CO2_percapita,Clave_Hash
266,1966,"25,669",0.159358568,163369
267,1967,"916,75",5.336736892,163369
268,1968,"1.243,11",6.708216413,163369
269,1969,"20.524,20",99.84043878,163369
270,1970,"15.247,39",64.762888963,163369
271,1971,"21.184,26",76.988875563,163369
272,1972,"23.454,13",72.37388334,163369
273,1973,"30.630,45",80.012044731,163369
274,1974,"31.327,18",69.315896962,163369
275,1975,"31.070,49",58.483978805,163369
276,1976,"39.651,27",63.742797616,163369
277,1977,"38.785,86",53.656931116,163369
278,1978,"44.814,41",54.163321223,163369
279,1979,"36.607,66",39.477561272,163369
280,1980,"36.904,69",36.295325776,163369
281,1981,"36.857,02",33.717635403,163369
282,1982,"36.871,69",31.82772295,163369
283,1983,"35.342,55",29.011556997,163369
284,1984,"46.394,88",36.238132656,163369
285,1985,"49.926,21",36.970516123,163369
286,1986,"47.234,63",33.018554428,163369
287,1987,"47.693,00",31.397817367,163369
288,1988,"48.367,73",29.969397188,163369
289,1989,"54.487,95",31.824900401,163369
290,1990,"52.009,06",28.711160292,163369
291,1991,"57.010,85",29.798843293,163369
292,1992,"58.136,62",28.794559126,163369
293,1993,"65.980,33",31.007790915,163369
294,1994,"73.130,98",32.672832857,163369
295,1995,"70.641,09",30.057581678,163369
296,1996,"41.059,40",16.638556712,163369
297,1997,"41.646,12",16.047240311,163369
298,1998,"81.495,41",29.810630741,163369
299,1999,"78.374,79",27.17395364,163369
300,2000,"112.562,23",36.904101074,163369
301,2001,"101.414,55",31.516099028,163369
302,2002,"84.704,03",24.956551446,163369
303,2003,"106.841,71",29.4670889,163369
304,2004,"113.240,63",28.481436992,163369
305,2005,"116.148,56",25.914587227,163369
306,2006,"123.874,93",23.954519164,163369
307,2007,"139.404,67",23.195066971,163369
308,2008,"158.935,11",23.033600468,163369
309,2009,"162.602,11",21.102295617,163369
310,2010,"167.596,57",20.120957283,163369
311,2011,"178.483,89",20.43383762,163369
312,1960,"48.815,10",2.367473032,65635
313,1961,"51.180,32",2.442615665,65635
314,1962,"53.695,88",2.522392105,65635
315,1963,"50.083,89",2.316355797,65635
316,1964,"55.727,40",2.53837965,65635
317,1965,"58.866,35",2.641714463,65635
318,1966,"63.138,41",2.792653923,65635
319,1967,"65.543,96",2.858162546,65635
320,1968,"69.082,61",2.969855218,65635
321,1969,"77.329,70",3.275850301,65635
322,1970,"82.734,85",3.451159222,65635
323,1971,"88.939,42",3.650078169,65635
324,1972,"90.156,86",3.637858366,65635
325,1973,"94.065,88",3.730791118,65635
326,1974,"95.569,35",3.726699112,65635
327,1975,"94.931,30",3.641822498,65635
328,1976,"99.786,40",3.768773931,65635
329,1977,"100.791,16",3.749871115,65635
330,1978,"102.639,33",3.762750231,65635
331,1979,"110.703,06",3.998733697,65635
332,1980,"108.737,55",3.86885293,65635
333,1981,"102.041,61",3.574967612,65635
334,1982,"103.424,07",3.567086543,65635
335,1983,"105.213,56",3.572041973,65635
336,1984,"106.522,68",3.560142178,65635
337,1985,"100.596,81",3.310327288,65635
338,1986,"104.212,47",3.377245218,65635
339,1987,"114.942,12",3.669168725,65635
340,1988,"121.473,04",3.820445808,65635
341,1989,"117.090,98",3.629202129,65635
342,1990,"112.613,57",3.440710803,65635
343,1991,"117.021,30",3.525383685,65635
344,1992,"121.447,37",3.608582241,65635
345,1993,"118.609,12",3.477160476,65635
346,1994,"123.350,55",3.569365678,65635
347,1995,"122.547,47",3.501874849,65635
348,1996,"129.217,75",3.648190358,65635
349,1997,"134.677,91",3.758387022,65635
350,1998,"137.673,85",3.79878183,65635
351,1999,"145.488,23",3.969875863,65635
352,2000,"141.076,82",3.806975725,65635
353,2001,"132.631,72",3.539532688,65635
354,2002,"123.266,21",3.253312671,65635
355,2003,"133.126,77",3.47503504,65635
356,2004,"156.170,20",4.032407013,65635
357,2005,"160.951,96",4.111634824,65635
358,2006,"174.237,51",4.404525042,65635
359,2007,"179.738,01",4.496833655,65635
360,2008,"191.578,75",4.744178401,65635
361,2009,"180.654,76",4.427960113,65635
362,2010,"179.000,94",4.342272052,65635
363,2011,"190.034,94",4.562048512,65635
396,1992,"4.052,04",1.174674163,51091
397,1993,"2.896,93",0.859706565,51091
398,1994,"2.966,60",0.901718662,51091
399,1995,"3.490,98",1.083089242,51091
400,1996,"2.607,24",0.821584566,51091
401,1997,"3.278,30",1.044825239,51091
402,1998,"3.406,64",1.094342744,51091
403,1999,"3.058,28",0.988511937,51091
404,2000,"3.465,32",1.126529454,51091
405,2001,"3.542,32",1.15760795,51091
406,2002,"3.043,61",0.998805808,51091
407,2003,"3.428,65",1.1291735,51091
408,2004,"3.645,00",1.20456698,51091
409,2005,"4.352,73",1.443730955,51091
410,2006,"4.382,07",1.459636908,51091
411,2007,"5.064,13",1.694755259,51091
412,2008,"5.559,17",1.868611029,51091
413,2009,"4.360,06",1.469960972,51091
414,2010,"4.217,05",1.422998378,51091
415,2011,"4.961,45",1.671656923,51091
468,1960,"36,67",0.67061685,96355
469,1961,"47,671",0.86044077,96355
470,1962,"102,676",1.823373764,96355
471,1963,"84,341",1.47017501,96355
472,1964,"91,675",1.567094017,96355
473,1965,"150,347",2.520359412,96355
474,1966,"348,365",5.727991713,96355
475,1967,"564,718",9.10806103,96355
476,1968,"990,09",15.671932379,96355
477,1969,"1.257,78",19.559006018,96355
478,1970,"462,042",7.068212761,96355
479,1971,"425,372",6.412192107,96355
480,1972,"374,034",5.565568038,96355
481,1973,"330,03",4.855381628,96355
482,1974,"429,039",6.249202534,96355
483,1975,"707,731",10.219499516,96355
484,1976,"403,37",5.780430484,96355
485,1977,"465,709",6.631858508,96355
486,1978,"491,378",6.969109888,96355
487,1979,"407,037",5.769237311,96355
488,1980,"143,013",2.034295387,96355
489,1981,"106,343",1.524630824,96355
490,1982,"293,36",4.254677302,96355
491,1983,"84,341",1.24107537,96355
492,1984,"146,68",2.193739437,96355
493,1985,"249,356",3.792832806,96355
494,1986,"249,356",3.859701262,96355
495,1987,"275,025",4.332193939,96355
496,1988,"286,026",4.57363523,96355
497,1989,"286,026",4.615779366,96355
498,1990,"300,694",4.85726747,96355
499,1991,"289,693",4.641623406,96355
500,1992,"289,693",4.566841126,96355
501,1993,"304,361",4.692005303,96355
502,1994,"311,695",4.683621337,96355
503,1995,"322,696",4.721298044,96355
504,1996,"322,696",4.593864332,96355
505,1997,"337,364",4.670561524,96355
506,1998,"333,697",4.49690052,96355
507,1999,"348,365",4.581278521,96355
508,2000,"344,698",4.439238615,96355
509,2001,"344,698",4.364812845,96355
510,2002,"363,033",4.536211421,96355
511,2003,"388,702",4.804484327,96355
512,2004,"407,037",4.980995619,96355
513,2005,"410,704",4.974311149,96355
514,2006,"425,372",5.096289552,96355
515,2007,"469,376",5.561524699,96355
516,2008,"480,377",5.628318688,96355
517,2009,"509,713",5.906292005,96355
518,2010,"524,381",6.011268671,96355
519,2011,"513,38",5.823804338,96355
520,1960,"88.202,35",8.582936643,91828
521,1961,"90.589,57",8.641569017,91828
522,1962,"94.912,96",8.835688047,91828
523,1963,"101.029,52",9.226439909,91828
524,1964,"108.979,57",9.759073431,91828
525,1965,"120.967,00",10.622321391,91828
526,1966,"120.332,61",10.328092438,91828
527,1967,"129.265,42",10.955624799,91828
528,1968,"134.622,90",11.210167708,91828
529,1969,"142.257,60",11.60055435,91828
530,1970,"147.618,75",11.802890541,91828
531,1971,"152.774,55",11.80911757,91828
532,1972,"157.486,65",11.951631555,91828
533,1973,"170.992,21",12.779686846,91828
534,1974,"172.356,33",12.559668731,91828
535,1975,"175.883,99",12.659899806,91828
536,1976,"174.244,84",12.416791777,91828
537,1977,"187.787,07",13.231896139,91828
538,1978,"202.015,03",14.069858615,91828
539,1979,"205.069,64",14.12909198,91828
540,1980,"220.746,07",15.024916009,91828
541,1981,"230.360,94",15.432500837,91828
542,1982,"234.119,62",15.424931809,91828
543,1983,"225.003,45",14.64008413,91828
544,1984,"236.594,84",15.220975296,91828
545,1985,"241.229,93",15.308410204,91828
546,1986,"239.964,81",14.980573153,91828
547,1987,"256.106,95",15.746957802,91828
548,1988,"261.145,41",15.796167782,91828
549,1989,"277.771,58",16.519862915,91828
550,1990,"263.847,98",15.461262108,91828
551,1991,"261.574,44",15.133906735,91828
552,1992,"268.068,70",15.322589368,91828
553,1993,"277.478,22",15.706018169,91828
554,1994,"278.204,29",15.581309941,91828
555,1995,"281.940,96",15.600982846,91828
556,1996,"302.241,47",16.506005898,91828
557,1997,"305.838,80",16.516649619,91828
558,1998,"316.964,48",16.940007429,91828
559,1999,"325.380,24",17.192235232,91828
560,2000,"329.479,95",17.202524409,91828
561,2001,"324.877,87",16.735067481,91828
562,2002,"341.390,37",17.372317799,91828
563,2003,"336.355,58",16.906198166,91828
564,2004,"342.776,49",17.030341326,91828
565,2005,"350.268,17",17.174386265,91828
566,2006,"357.946,87",17.293873823,91828
567,2007,"363.795,74",17.467002247,91828
568,2008,"376.197,53",17.704079683,91828
569,2009,"382.464,43",17.631833051,91828
570,2010,"368.170,47",16.710904354,91828
571,2011,"369.039,55",16.519209917,91828
572,1960,"30.821,14",4.373318828,51344
573,1961,"31.862,56",4.496361641,51344
574,1962,"33.905,08",4.755361673,51344
575,1963,"36.992,70",5.155193747,51344
576,1964,"38.943,54",5.391003988,51344
577,1965,"38.188,14",5.252196533,51344
578,1966,"39.258,90",5.361724683,51344
579,1967,"39.966,63",5.417736727,51344
580,1968,"42.350,18",5.711110104,51344
581,1969,"44.693,40",6.006325178,51344
582,1970,"50.692,61",6.788807307,51344
583,1971,"52.155,74",6.953651912,51344
584,1972,"56.193,11",7.448516814,51344
585,1973,"60.164,47",7.930866985,51344
586,1974,"57.469,22",7.562697278,51344
587,1975,"54.392,61",7.176844855,51344
588,1976,"58.415,31",7.721250012,51344
589,1977,"56.218,78",7.428063284,51344
590,1978,"57.483,89",7.601371804,51344
591,1979,"61.594,60",8.158846402,51344
592,1980,"52.306,09",6.928479,51344
593,1981,"56.130,77",7.416160614,51344
594,1982,"53.868,23",7.112124941,51344
595,1983,"51.983,39",6.874373273,51344
596,1984,"54.550,29",7.214278667,51344
597,1985,"54.700,64",7.230766353,51344
598,1986,"54.080,92",7.144304852,51344
599,1987,"57.744,25",7.623419815,51344
600,1988,"53.340,18",7.032030698,51344
601,1989,"54.117,59",7.102448997,51344
602,1990,"57.722,25",7.518022233,51344
603,1991,"61.638,60",7.94835195,51344
604,1992,"56.688,15",7.229977927,51344
605,1993,"57.135,53",7.227191928,51344
606,1994,"57.095,19",7.194347413,51344
607,1995,"59.827,11",7.527052401,51344
608,1996,"63.226,41",7.943997858,51344
609,1997,"62.705,70",7.869650771,51344
610,1998,"63.717,79",7.987899893,51344
611,1999,"61.917,30",7.747095213,51344
612,2000,"62.188,65",7.762359194,51344
613,2001,"65.785,98",8.180002892,51344
614,2002,"66.977,76",8.287318901,51344
615,2003,"72.074,89",8.874662113,51344
616,2004,"72.272,90",8.844004368,51344
617,2005,"74.278,75",9.027746201,51344
618,2006,"72.214,23",8.733506631,51344
619,2007,"69.724,34",8.405092793,51344
620,2008,"68.752,58",8.262046031,51344
621,2009,"63.483,10",7.608851293,51344
622,2010,"67.975,18",8.127692863,51344
623,2011,"65.202,93",7.769983423,51344
656,1992,"57.678,24",7.813362639,63017
657,1993,"49.365,15",6.586411474,63017
658,1994,"42.672,88",5.617069764,63017
659,1995,"33.479,71",4.356500976,63017
660,1996,"31.510,53",4.059066212,63017
661,1997,"29.809,04",3.803022741,63017
662,1998,"31.675,55",4.00297561,63017
663,1999,"28.576,93",3.579835395,63017
664,2000,"29.508,35",3.666271029,63017
665,2001,"28.771,28",3.547105484,63017
666,2002,"29.614,69",3.623944346,63017
667,2003,"30.615,78",3.718169927,63017
668,2004,"32.089,92",3.863229639,63017
669,2005,"34.337,79",4.091801927,63017
670,2006,"39.167,23",4.616299863,63017
671,2007,"30.509,44",3.5553401,63017
672,2008,"35.503,89",4.051383481,63017
673,2009,"31.902,90",3.565668218,63017
674,2010,"30.678,12",3.388225879,63017
675,2011,"33.457,71",3.647379147,63017
678,1962,"44,004",0.015202573,49816
679,1963,"47,671",0.016154716,49816
680,1964,"47,671",0.015827251,49816
681,1965,"36,67",0.011909579,49816
682,1966,"47,671",0.015115038,49816
683,1967,"47,671",0.014735443,49816
684,1968,"55,005",0.016581181,49816
685,1969,"73,34",0.021615415,49816
686,1970,"62,339",0.018032098,49816
687,1971,"73,34",0.020908925,49816
688,1972,"73,34",0.020674675,49816
689,1973,"73,34",0.020469155,49816
690,1974,"91,675",0.02529766,49816
691,1975,"77,007",0.020942939,49816
692,1976,"88,008",0.023502041,49816
693,1977,"99,009",0.025881431,49816
694,1978,"102,676",0.026207124,49816
695,1979,"110,01",0.027372978,49816
696,1980,"146,68",0.035545483,49816
697,1981,"157,681",0.037191783,49816
698,1982,"157,681",0.036172651,49816
699,1983,"205,352",0.045769938,49816
700,1984,"220,02",0.047575832,49816
701,1985,"231,021",0.048388881,49816
702,1986,"242,022",0.049027749,49816
703,1987,"267,691",0.052400265,49816
704,1988,"256,69",0.048577138,49816
705,1989,"300,694",0.055127945,49816
706,1990,"293,36",0.052263073,49816
707,1991,"337,364",0.058575946,49816
708,1992,"308,028",0.052251256,49816
709,1993,"326,363",0.054214014,49816
710,1994,"333,697",0.054400843,49816
711,1995,"322,696",0.051722143,49816
712,1996,"319,029",0.05037235,49816
713,1997,"304,361",0.047405324,49816
714,1998,"293,36",0.045049693,49816
715,1999,"286,026",0.043182164,49816
716,2000,"289,693",0.042809203,49816
717,2001,"205,352",0.029561001,49816
718,2002,"212,686",0.029705089,49816
719,2003,"161,348",0.021800204,49816
720,2004,"198,018",0.025845471,49816
721,2005,"154,014",0.019411377,49816
722,2006,"187,017",0.022756803,49816
723,2007,"187,017",0.02196433,49816
724,2008,"190,684",0.021615102,49816
725,2009,"190,684",0.020867637,49816
726,2010,"194,351",0.020542078,49816
727,2011,"209,019",0.021349926,49816
728,1960,"91.000,27",9.941594074,51673
729,1961,"92.793,44",10.103871995,51673
730,1962,"98.117,92",10.64118963,51673
731,1963,"105.781,95",11.38692874,51673
732,1964,"103.662,42",11.053654717,51673
733,1965,"105.440,92",11.141655555,51673
734,1966,"105.206,23",11.042019428,51673
735,1967,"107.472,44",11.217256754,51673
736,1968,"118.557,78",12.325687126,51673
737,1969,"123.618,24",12.815449607,51673
738,1970,"125.620,42",13.01017881,51673
739,1971,"121.528,05",12.563425176,51673
740,1972,"130.834,89",13.472695257,51673
741,1973,"138.872,96",14.255486403,51673
742,1974,"135.220,63",13.836965546,51673
743,1975,"122.100,10",12.458303897,51673
744,1976,"130.009,82",13.241679786,51673
745,1977,"126.570,17",12.875438717,51673
746,1978,"135.855,02",13.807057936,51673
747,1979,"140.233,41",14.239233815,51673
748,1980,"135.301,30",13.723296274,51673
749,1981,"124.021,61",12.57955507,51673
750,1982,"117.553,02",11.926684782,51673
751,1983,"101.630,91",10.312079424,51673
752,1984,"105.422,58",10.696966385,51673
753,1985,"104.472,83",10.59744025,51673
754,1986,"102.874,02",10.431541714,51673
755,1987,"103.116,04",10.447172782,51673
756,1988,"100.354,79",10.135143851,51673
757,1989,"107.461,44",10.813514942,51673
758,1990,"106.049,64",10.639671673,51673
759,1991,"110.959,75",11.090999877,51673
760,1992,"111.968,18",11.146482514,51673
761,1993,"107.652,12",10.675034546,51673
762,1994,"112.334,88",11.105109404,51673
763,1995,"112.327,54",11.081152051,51673
764,1996,"118.059,07",11.623834247,51673
765,1997,"115.341,82",11.328852022,51673
766,1998,"118.374,43",11.601914553,51673
767,1999,"115.085,13",11.253707481,51673
768,2000,"114.894,44",11.207847238,51673
769,2001,"114.315,06",11.113039429,51673
770,2002,"107.098,40",10.364911493,51673
771,2003,"114.564,41",11.04114741,51673
772,2004,"110.908,42",10.64264053,51673
773,2005,"108.297,51",10.335095843,51673
774,2006,"106.775,71",10.122879329,51673
775,2007,"103.215,05",9.71371759,51673
776,2008,"103.882,44",9.699598963,51673
777,2009,"104.021,79",9.634775755,51673
778,2010,"109.093,25",10.012609694,51673
779,2011,"97.765,89",8.849398302,51673
780,1960,"161,348",0.066354118,44363
781,1961,"128,345",0.052045781,44363
782,1962,"135,679",0.054201528,44363
783,1963,"121,011",0.047579654,44363
784,1964,"143,013",0.055295044,44363
785,1965,"150,347",0.057114908,44363
786,1966,"113,677",0.042394929,44363
787,1967,"143,013",0.052319596,44363
788,1968,"154,014",0.055230835,44363
789,1969,"201,685",0.070849897,44363
790,1970,"282,359",0.097105031,44363
791,1971,"293,36",0.0987099,44363
792,1972,"388,702",0.127891949,44363
793,1973,"381,368",0.122623449,44363
794,1974,"407,037",0.127816295,44363
795,1975,"443,707",0.135983014,44363
796,1976,"260,357",0.077823023,44363
797,1977,"297,027",0.086539722,44363
798,1978,"363,033",0.103038654,44363
799,1979,"366,7",0.101340082,44363
800,1980,"517,047",0.139064998,44363
801,1981,"429,039",0.112249052,44363
802,1982,"502,379",0.127787747,44363
803,1983,"462,042",0.114215524,44363
804,1984,"513,38",0.123291053,44363
805,1985,"744,401",0.173630822,44363
806,1986,"693,063",0.15699872,44363
807,1987,"539,049",0.118573004,44363
808,1988,"561,051",0.119745164,44363
809,1989,"641,725",0.132690892,44363
810,1990,"715,065",0.142976655,44363
811,1991,"828,742",0.159910854,44363
812,1992,"905,749",0.168410364,44363
813,1993,"1.133,10",0.202977024,44363
814,1994,"1.265,12",0.218621053,44363
815,1995,"1.327,45",0.221772443,44363
816,1996,"1.265,12",0.204833203,44363
817,1997,"1.217,44",0.191382863,44363
818,1998,"1.213,78",0.185408737,44363
819,1999,"1.562,14",0.231754927,44363
820,2000,"1.598,81",0.230065879,44363
821,2001,"1.815,17",0.252987807,44363
822,2002,"2.079,19",0.280412783,44363
823,2003,"2.354,21",0.307110875,44363
824,2004,"2.508,23",0.316583691,44363
825,2005,"2.394,55",0.292647893,44363
826,2006,"3.872,35",0.458607507,44363
827,2007,"4.495,74",0.516298739,44363
828,2008,"4.488,41",0.500183373,44363
829,2009,"4.752,43",0.514277812,44363
830,2010,"5.152,14",0.541771234,44363
831,2011,"4.987,12",0.509962226,44363
832,1960,"44,004",0.009111897,66240
833,1961,"91,675",0.018729909,66240
834,1962,"84,341",0.01700312,66240
835,1963,"88,008",0.017504214,66240
836,1964,"110,01",0.021575276,66240
837,1965,"102,676",0.019841275,66240
838,1966,"102,676",0.019533659,66240
839,1967,"102,676",0.019216847,66240
840,1968,"102,676",0.018894966,66240
841,1969,"121,011",0.021889876,66240
842,1970,"143,013",0.025426355,66240
843,1971,"150,347",0.026268923,66240
844,1972,"161,348",0.027698414,66240
845,1973,"168,682",0.028443195,66240
846,1974,"205,352",0.033998428,66240
847,1975,"220,02",0.035749173,66240
848,1976,"209,019",0.033314914,66240
849,1977,"249,356",0.038968347,66240
850,1978,"348,365",0.053341694,66240
851,1979,"407,037",0.061009863,66240
852,1980,"432,706",0.063420218,66240
853,1981,"557,384",0.079795475,66240
854,1982,"575,719",0.080427272,66240
855,1983,"594,054",0.080923788,66240
856,1984,"465,709",0.061836929,66240
857,1985,"476,71",0.061686779,66240
858,1986,"480,377",0.060571905,66240
859,1987,"517,047",0.063518694,66240
860,1988,"553,717",0.06626337,66240
861,1989,"821,408",0.095737151,66240
